iter	Passed	Remaining
0	99	99140
1	178	89043
2	256	85242
3	332	82765
4	410	81724
5	492	81623
6	578	81994
7	656	81442
8	739	81465
9	816	80875
10	908	81680
11	989	81444
12	1072	81416
13	1155	81358
14	1238	81334
15	1314	80850
16	1396	80771
17	1471	80263
18	1548	79930
19	1631	79945
20	1710	79764
21	1793	79708
22	1878	79794
23	1970	80146
24	2075	80941
25	2183	81788
26	2293	82662
27	2400	83338
28	2520	84397
29	2612	84471
30	2718	84962
31	2845	86079
32	2936	86033
33	3049	86640
34	3158	87092
35	3266	87472
36	3392	88306
37	3505	88752
38	3588	88417
39	3676	88232
40	3768	88141
41	3865	88164
42	3953	87990
43	4047	87946
44	4136	87796
45	4230	87745
46	4351	88238
47	4481	88891
48	4607	89415
49	4715	89599
50	4831	89900
51	4943	90118
52	5049	90216
53	5142	90088
54	5238	90006
55	5340	90018
56	5436	89932
57	5543	90040
58	5641	89970
59	5764	90311
60	5855	90131
61	5979	90460
62	6081	90450
63	6191	90554
64	6300	90626
65	6405	90650
66	6519	90779
67	6624	90796
68	6715	90606
69	6822	90642
70	6944	90867
71	7038	90722
72	7147	90757
73	7290	91235
74	7412	91420
75	7538	91657
76	7654	91754
77	7784	92021
78	7914	92272
79	8068	92792
80	8193	92962
81	8312	93060
82	8396	92769
83	8483	92510
84	8591	92486
85	8714	92620
86	8806	92418
87	8902	92260
88	8992	92051
89	9072	91733
90	9155	91455
91	9235	91149
92	9322	90922
93	9410	90701
94	9496	90467
95	9594	90347
96	9896	92131
97	10016	92190
98	10161	92484
99	10267	92410
100	10387	92455
101	10474	92214
102	10572	92073
103	10676	91983
104	10786	91938
105	10872	91700
106	10957	91451
107	11060	91347
108	11162	91244
109	11277	91247
110	11524	92297
111	11647	92345
112	11770	92397
113	11899	92485
114	11985	92232
115	12084	92094
116	12186	91968
117	12451	93068
118	12569	93056
119	12723	93307
120	12837	93260
121	12941	93139
122	13030	92905
123	13118	92676
124	13220	92542
125	13307	92309
126	13414	92210
127	13512	92052
128	13606	91870
129	13702	91698
130	13804	91571
131	13899	91401
132	13993	91221
133	14101	91133
134	14185	90893
135	14264	90621
136	14346	90369
137	14436	90178
138	14522	89954
139	14606	89728
140	14697	89540
141	14778	89297
142	14864	89081
143	14948	88862
144	15026	88604
145	15111	88390
146	15192	88156
147	15274	87933
148	15353	87690
149	15435	87468
150	15518	87250
151	15598	87023
152	15680	86807
153	15759	86572
154	15854	86435
155	15944	86263
156	16031	86082
157	16119	85901
158	16202	85700
159	16288	85514
160	16374	85329
161	16455	85123
162	16538	84925
163	16624	84744
164	16710	84566
165	16793	84369
166	16885	84224
167	16965	84018
168	17045	83817
169	17123	83604
170	17199	83380
171	17283	83200
172	17366	83018
173	17449	82836
174	17531	82649
175	17613	82464
176	17693	82271
177	17777	82095
178	17872	81972
179	17950	81775
180	18030	81584
181	18116	81426
182	18204	81272
183	18289	81109
184	18379	80967
185	18473	80847
186	18557	80682
187	18644	80528
188	18723	80341
189	18815	80213
190	18894	80031
191	18975	79853
192	19055	79678
193	19132	79487
194	19210	79304
195	19288	79123
196	19368	78949
197	19450	78782
198	19524	78588
199	19602	78410
200	19683	78245
201	19764	78080
202	19852	77944
203	19931	77773
204	20017	77628
205	20098	77467
206	20178	77302
207	20261	77149
208	20341	76985
209	20425	76837
210	20504	76673
211	20590	76533
212	20673	76384
213	20756	76238
214	20847	76116
215	20923	75944
216	20999	75772
217	21079	75616
218	21157	75452
219	21250	75341
220	21331	75192
221	21409	75029
222	21490	74880
223	21571	74728
224	21648	74568
225	21732	74427
226	21825	74321
227	21905	74171
228	21988	74032
229	22069	73884
230	22151	73742
231	22230	73591
232	22316	73462
233	22390	73297
234	22480	73179
235	22563	73046
236	22646	72909
237	22723	72754
238	22815	72646
239	22892	72491
240	22968	72337
241	23048	72192
242	23128	72051
243	23206	71903
244	23285	71757
245	23373	71640
246	23450	71491
247	23530	71350
248	23609	71206
249	23690	71072
250	23775	70946
251	23863	70833
252	23949	70711
253	24028	70572
254	24109	70437
255	24198	70326
256	24281	70198
257	24362	70065
258	24442	69930
259	24526	69805
260	24612	69688
261	24695	69562
262	24774	69424
263	24861	69309
264	24945	69188
265	25019	69039
266	25102	68914
267	25177	68769
268	25255	68631
269	25336	68503
270	25422	68387
271	25501	68253
272	25578	68116
273	25659	67989
274	25742	67867
275	25832	67764
276	25917	67646
277	25997	67517
278	26078	67394
279	26159	67267
280	26244	67152
281	26326	67029
282	26408	66906
283	26493	66792
284	26575	66672
285	26657	66549
286	26738	66426
287	26822	66311
288	26900	66181
289	26980	66054
290	27058	65927
291	27136	65795
292	27215	65668
293	27295	65545
294	27374	65420
295	27453	65295
296	27529	65161
297	27607	65034
298	27684	64905
299	27762	64779
300	27853	64682
301	27936	64568
