Type,Age,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,State,PetID,PhotoAmt,AdoptionSpeed,NotAdopted,mixed_breed,multi_color,FeeAsked,photo,desc_length,desc_word_count
cat,3,male,Black,1,1,2,2,2,1,1,Selangor,86e1089a3,1.0,2,0,0,1,1,1,353,70
cat,1,male,Black,2,2,3,3,3,1,1,Kuala Lumpur,6296e909a,2.0,0,0,1,1,0,1,117,23
dog,1,male,Brown,2,2,1,1,2,1,1,Selangor,3422e4906,7.0,3,0,1,1,0,1,385,69
dog,4,female,Black,2,1,1,1,2,1,1,Kuala Lumpur,5842f1ff5,8.0,2,0,1,1,1,1,140,25
dog,1,male,Black,2,1,2,2,2,1,1,Selangor,850a43f90,3.0,2,0,1,0,0,1,381,80
cat,3,female,Cream,2,1,2,2,2,1,1,Selangor,d24c30b4b,2.0,2,0,1,1,0,1,85,18
cat,12,male,Black,2,3,2,2,3,1,1,Selangor,1caa6fcdb,3.0,1,0,1,0,1,1,397,81
dog,0,female,Black,2,1,2,2,2,1,6,Selangor,97aa9eeac,9.0,3,0,1,1,0,1,107,24
cat,2,female,Gray,2,2,2,2,2,1,1,Selangor,c06d167ca,6.0,1,0,1,0,0,1,76,13
cat,12,female,Black,2,2,3,3,3,1,1,Selangor,7a0942d61,2.0,4,1,1,1,0,1,229,45
dog,2,male,Black,2,1,2,1,2,1,1,Kuala Lumpur,8b693ca84,7.0,1,0,1,1,0,1,66,12
cat,3,female,Black,3,3,1,1,2,1,1,Selangor,8e76c8e39,2.0,1,0,1,1,1,1,648,127
dog,2,male,Brown,2,3,1,1,2,1,1,Selangor,aaedd873d,1.0,2,0,1,1,0,1,236,46
cat,2,mixed,Black,1,2,2,2,3,1,7,Selangor,4a9793dfb,1.0,1,0,1,1,0,1,496,99
dog,3,female,Brown,2,2,3,3,3,1,1,Kuala Lumpur,c02be41e6,2.0,2,0,1,1,0,1,470,75
dog,78,male,Black,2,2,3,3,3,1,1,Selangor,1fd342e17,2.0,4,1,0,1,0,1,352,72
cat,6,female,Brown,1,1,1,1,1,1,1,Selangor,b38a74866,1.0,3,0,1,0,0,1,36,7
dog,8,female,Brown,2,1,2,1,1,1,1,Perak,f9d07d5fa,2.0,4,1,1,0,1,1,361,73
dog,2,female,Black,2,1,2,1,2,1,1,Kuala Lumpur,1c92ce464,8.0,2,0,1,0,0,1,665,141
cat,1,mixed,Black,1,1,2,2,2,1,5,Selangor,b10e7605a,1.0,4,1,1,1,0,1,502,94
dog,12,female,Brown,2,2,2,1,1,1,1,Selangor,6436c1a59,7.0,2,0,1,1,0,1,424,78
dog,3,female,Gray,2,1,2,1,2,1,3,Selangor,234a5a54c,5.0,4,1,1,0,0,1,93,16
cat,0,mixed,Golden,2,2,2,2,3,1,10,Kuala Lumpur,1bc0f89d8,0.0,4,1,0,1,0,0,105,21
dog,10,female,Black,2,2,1,1,1,1,1,Selangor,1bf24d8be,0.0,4,1,1,1,0,0,332,65
cat,3,male,Brown,1,1,2,1,2,1,1,Kuala Lumpur,988988d5b,10.0,1,0,1,1,0,1,204,42
cat,36,male,Golden,3,2,1,1,1,1,1,Selangor,cf7d3eec0,3.0,2,0,0,0,0,1,334,64
cat,2,male,Golden,2,2,2,2,2,1,1,Kuala Lumpur,85fc3c314,10.0,1,0,0,0,0,1,54,9
cat,1,female,Black,2,1,2,2,2,1,1,Selangor,efbf1703a,2.0,2,0,1,0,0,1,92,19
dog,14,male,Black,3,1,1,1,2,1,1,Selangor,7843a9dca,0.0,3,0,0,1,1,0,161,27
cat,1,female,Brown,1,1,2,1,2,1,1,Pulau Pinang,d341fbfd6,1.0,2,0,1,1,0,1,286,54
dog,4,mixed,Brown,1,2,1,1,1,1,2,Selangor,1a76190c5,5.0,3,0,0,1,0,1,211,40
cat,1,male,Black,1,1,2,2,2,1,1,Terengganu,edb920079,1.0,1,0,1,0,0,1,37,8
dog,24,male,Cream,2,1,1,1,2,1,5,Selangor,543130f60,1.0,4,1,1,1,0,1,291,56
cat,4,female,Black,1,1,2,2,2,1,2,Selangor,9415bc79e,7.0,3,0,1,1,0,1,330,59
cat,3,female,Black,1,1,1,2,2,1,1,Pulau Pinang,4c6fe4100,5.0,4,1,1,1,1,1,18,3
cat,12,female,Gray,2,3,2,2,2,1,1,Selangor,0737e4f11,5.0,1,0,1,0,0,1,22,4
cat,24,female,Black,2,2,1,1,3,1,3,Selangor,61fa73996,2.0,4,1,1,1,0,1,29,7
cat,2,female,Brown,1,2,2,2,2,1,1,Selangor,eabb13cea,3.0,1,0,1,0,0,1,204,35
dog,12,male,Black,2,1,2,2,2,1,1,Johor,deff069a2,4.0,1,0,1,0,0,1,230,45
dog,12,male,Cream,2,2,1,1,2,1,1,Selangor,4e3640544,1.0,3,0,1,0,0,1,99,16
cat,2,female,White,2,2,2,1,2,1,1,Selangor,ace21b6b1,10.0,3,0,1,0,0,1,914,176
cat,1,mixed,Black,1,1,2,2,2,1,3,Selangor,8ee223a17,1.0,2,0,1,1,0,1,84,14
