,state,participation,score,high_participation,year,test,hdi,diversity_metric,population_density
0,alabama,1.0,18.9,True,2019,ACT,0.886,0.53592158,38.3
1,alabama,0.07,1143.0,False,2019,SAT,0.886,0.53592158,38.3
2,alaska,0.38,20.1,False,2019,ACT,0.936,0.45386799000000005,0.5
3,alaska,0.41,1097.0,False,2019,SAT,0.936,0.45386799000000005,0.5
4,arizona,0.73,19.0,False,2019,ACT,0.913,0.6119696200000001,24.3
5,arizona,0.31,1134.0,False,2019,SAT,0.913,0.6119696200000001,24.3
6,arkansas,1.0,19.3,True,2019,ACT,0.886,0.6153438599999999,22.3
7,arkansas,0.06,1141.0,False,2019,SAT,0.886,0.6153438599999999,22.3
8,california,0.23,22.6,False,2019,ACT,0.936,0.41636495999999995,98.0
9,california,0.63,1065.0,False,2019,SAT,0.936,0.41636495999999995,98.0
10,colorado,0.27,23.8,False,2019,ACT,0.948,0.7141101799999998,21.5
11,colorado,1.0,1024.0,True,2019,SAT,0.948,0.7141101799999998,21.5
12,connecticut,0.22,25.5,False,2019,ACT,0.954,0.5972115800000001,288.0
13,connecticut,1.0,1046.0,True,2019,SAT,0.954,0.5972115800000001,288.0
14,delaware,0.13,24.1,False,2019,ACT,0.936,0.5257585100000001,196.0
15,delaware,1.0,985.0,True,2019,SAT,0.936,0.5257585100000001,196.0
16,florida,0.54,20.1,False,2019,ACT,0.916,0.59416271,155.0
17,florida,1.0,999.0,True,2019,SAT,0.916,0.59416271,155.0
18,georgia,0.49,21.4,False,2019,ACT,0.91,0.44801997,71.9
19,georgia,0.71,1058.0,False,2019,SAT,0.91,0.44801997,71.9
20,hawaii,0.8,19.0,False,2019,ACT,0.945,0.27862211,87.5
21,hawaii,0.54,1100.0,False,2019,SAT,0.945,0.27862211,87.5
22,idaho,0.31,22.5,False,2019,ACT,0.912,0.8140129600000001,8.6
23,idaho,1.0,993.0,True,2019,SAT,0.912,0.8140129600000001,8.6
24,illinois,0.35,24.3,False,2019,ACT,0.934,0.5420421000000001,89.1
25,illinois,1.0,1013.0,True,2019,SAT,0.934,0.5420421000000001,89.1
26,indiana,0.29,22.5,False,2019,ACT,0.912,0.7056546599999999,73.1
27,indiana,0.66,1080.0,False,2019,SAT,0.912,0.7056546599999999,73.1
28,iowa,0.66,21.6,False,2019,ACT,0.935,0.8134620999999999,22.1
29,iowa,0.03,1244.0,False,2019,SAT,0.935,0.8134620999999999,22.1
30,kansas,0.72,21.2,False,2019,ACT,0.927,0.7198634599999999,13.9
31,kansas,0.04,1241.0,False,2019,SAT,0.927,0.7198634599999999,13.9
32,kentucky,1.0,19.8,True,2019,ACT,0.89,0.7638070200000001,44.1
33,kentucky,0.04,1232.0,False,2019,SAT,0.89,0.7638070200000001,44.1
34,louisiana,1.0,18.8,True,2019,ACT,0.893,0.48985207999999997,41.6
35,louisiana,0.05,1200.0,False,2019,SAT,0.893,0.48985207999999997,41.6
36,maine,0.06,24.3,False,2019,ACT,0.922,0.8904230800000001,17.1
37,maine,0.99,1013.0,True,2019,SAT,0.922,0.8904230800000001,17.1
38,maryland,0.28,22.3,False,2019,ACT,0.941,0.40809845999999994,246.0
39,maryland,0.82,1058.0,False,2019,SAT,0.941,0.40809845999999994,246.0
40,massachusetts,0.21,25.5,False,2019,ACT,0.956,0.62521054,348.0
41,massachusetts,0.81,1120.0,False,2019,SAT,0.956,0.62521054,348.0
42,michigan,0.19,24.4,False,2019,ACT,0.918,0.63651916,68.8
43,michigan,1.0,1003.0,True,2019,SAT,0.918,0.63651916,68.8
44,minnesota,0.95,21.4,True,2019,ACT,0.953,0.69529518,27.7
45,minnesota,0.04,1284.0,False,2019,SAT,0.953,0.69529518,27.7
46,mississippi,1.0,18.4,True,2019,ACT,0.871,0.48414017999999986,24.4
47,mississippi,0.03,1237.0,False,2019,SAT,0.871,0.48414017999999986,24.4
48,missouri,0.82,20.8,False,2019,ACT,0.913,0.69008566,34.6
49,missouri,0.04,1236.0,False,2019,SAT,0.913,0.69008566,34.6
50,montana,1.0,19.8,True,2019,ACT,0.921,0.7894574599999999,2.9
51,montana,0.09,1199.0,False,2019,SAT,0.921,0.7894574599999999,2.9
52,nebraska,1.0,20.0,True,2019,ACT,0.939,0.76316611,9.9
53,nebraska,0.03,1260.0,False,2019,SAT,0.939,0.76316611,9.9
54,nevada,1.0,17.9,True,2019,ACT,0.909,0.46841647000000014,10.9
55,nevada,0.2,1156.0,False,2019,SAT,0.909,0.46841647000000014,10.9
56,new hampshire,0.14,25.0,False,2019,ACT,0.948,0.8643482699999999,59.4
57,new hampshire,0.95,1059.0,True,2019,SAT,0.948,0.8643482699999999,59.4
58,new jersey,0.25,24.2,False,2019,ACT,0.948,0.49465632,488.0
59,new jersey,0.82,1090.0,False,2019,SAT,0.948,0.49465632,488.0
60,new mexico,0.63,19.3,False,2019,ACT,0.906,0.58362407,6.7
61,new mexico,0.18,1073.0,False,2019,SAT,0.906,0.58362407,6.7
62,new york,0.22,24.5,False,2019,ACT,0.944,0.45083743000000004,166.0
63,new york,0.79,1064.0,False,2019,SAT,0.944,0.45083743000000004,166.0
64,north carolina,1.0,19.0,True,2019,ACT,0.912,0.5219269999999999,82.9
65,north carolina,0.51,1100.0,False,2019,SAT,0.912,0.5219269999999999,82.9
66,north dakota,0.96,19.9,True,2019,ACT,0.946,0.75480588,4.4
67,north dakota,0.02,1263.0,False,2019,SAT,0.946,0.75480588,4.4
68,ohio,1.0,20.0,True,2019,ACT,0.919,0.67834899,111.0
69,ohio,0.19,1097.0,False,2019,SAT,0.919,0.67834899,111.0
70,oklahoma,1.0,18.9,True,2019,ACT,0.901,0.54553913,22.3
71,oklahoma,0.22,963.0,False,2019,SAT,0.901,0.54553913,22.3
72,oregon,0.42,21.1,False,2019,ACT,0.936,0.71909916,17.0
73,oregon,0.51,1112.0,False,2019,SAT,0.936,0.71909916,17.0
74,pennsylvania,0.17,23.6,False,2019,ACT,0.928,0.66433609,112.0
75,pennsylvania,0.7,1082.0,False,2019,SAT,0.928,0.66433609,112.0
76,rhode island,0.12,24.7,False,2019,ACT,0.93,0.6608900900000001,410.0
