,state,participation,score,high_participation,year,test
0,alabama,1.0,19.2,True,2017,ACT
1,alaska,0.65,19.8,False,2017,ACT
2,arizona,0.62,19.7,False,2017,ACT
3,arkansas,1.0,19.4,True,2017,ACT
4,california,0.31,22.8,False,2017,ACT
5,colorado,1.0,20.8,True,2017,ACT
6,connecticut,0.31,25.2,False,2017,ACT
7,delaware,0.18,24.1,False,2017,ACT
8,florida,0.73,19.8,False,2017,ACT
9,georgia,0.55,21.4,False,2017,ACT
10,hawaii,0.9,19.0,True,2017,ACT
11,idaho,0.38,22.3,False,2017,ACT
12,illinois,0.93,21.4,True,2017,ACT
13,indiana,0.35,22.6,False,2017,ACT
14,iowa,0.67,21.9,False,2017,ACT
15,kansas,0.73,21.7,False,2017,ACT
16,kentucky,1.0,20.0,True,2017,ACT
17,louisiana,1.0,19.5,True,2017,ACT
18,maine,0.08,24.3,False,2017,ACT
19,maryland,0.28,23.6,False,2017,ACT
20,massachusetts,0.29,25.4,False,2017,ACT
21,michigan,0.29,24.1,False,2017,ACT
22,minnesota,1.0,21.5,True,2017,ACT
23,mississippi,1.0,18.6,True,2017,ACT
24,missouri,1.0,20.4,True,2017,ACT
25,montana,1.0,20.3,True,2017,ACT
26,nebraska,0.84,21.4,False,2017,ACT
27,nevada,1.0,17.8,True,2017,ACT
28,new hampshire,0.18,25.5,False,2017,ACT
29,new jersey,0.34,23.9,False,2017,ACT
30,new mexico,0.66,19.7,False,2017,ACT
31,new york,0.31,24.2,False,2017,ACT
32,north carolina,1.0,19.1,True,2017,ACT
33,north dakota,0.98,20.3,True,2017,ACT
34,ohio,0.75,22.0,False,2017,ACT
35,oklahoma,1.0,19.4,True,2017,ACT
36,oregon,0.4,21.8,False,2017,ACT
37,pennsylvania,0.23,23.7,False,2017,ACT
38,rhode island,0.21,24.0,False,2017,ACT
39,south carolina,1.0,18.7,True,2017,ACT
40,south dakota,0.8,21.8,False,2017,ACT
41,tennessee,1.0,19.8,True,2017,ACT
42,texas,0.45,20.7,False,2017,ACT
43,utah,1.0,20.3,True,2017,ACT
44,vermont,0.29,23.6,False,2017,ACT
45,virginia,0.29,23.8,False,2017,ACT
46,washington,0.29,21.9,False,2017,ACT
47,west virginia,0.69,20.4,False,2017,ACT
48,wisconsin,1.0,20.5,True,2017,ACT
49,wyoming,1.0,20.2,True,2017,ACT
50,alabama,1.0,19.1,True,2018,ACT
51,alaska,0.33,20.8,False,2018,ACT
52,arizona,0.66,19.2,False,2018,ACT
53,arkansas,1.0,19.4,True,2018,ACT
54,california,0.27,22.7,False,2018,ACT
55,colorado,0.3,23.9,False,2018,ACT
56,connecticut,0.26,25.6,False,2018,ACT
57,delaware,0.17,23.8,False,2018,ACT
58,florida,0.66,19.9,False,2018,ACT
59,georgia,0.53,21.4,False,2018,ACT
60,hawaii,0.89,18.9,False,2018,ACT
61,idaho,0.36,22.3,False,2018,ACT
62,illinois,0.43,23.9,False,2018,ACT
63,indiana,0.32,22.5,False,2018,ACT
64,iowa,0.68,21.8,False,2018,ACT
65,kansas,0.71,21.6,False,2018,ACT
66,kentucky,1.0,20.2,True,2018,ACT
67,louisiana,1.0,19.2,True,2018,ACT
68,maine,0.07,24.0,False,2018,ACT
69,maryland,0.31,22.5,False,2018,ACT
70,massachusetts,0.25,25.5,False,2018,ACT
71,michigan,0.22,24.2,False,2018,ACT
72,minnesota,0.99,21.3,True,2018,ACT
73,mississippi,1.0,18.6,True,2018,ACT
74,missouri,1.0,20.0,True,2018,ACT
75,montana,1.0,20.0,True,2018,ACT
76,nebraska,1.0,20.1,True,2018,ACT
77,nevada,1.0,17.7,True,2018,ACT
78,new hampshire,0.16,25.1,False,2018,ACT
79,new jersey,0.31,23.7,False,2018,ACT
80,new mexico,0.67,19.4,False,2018,ACT
81,new york,0.27,24.5,False,2018,ACT
82,north carolina,1.0,19.1,True,2018,ACT
83,north dakota,0.98,20.3,True,2018,ACT
